IDvalue = True 28
UInt32 String Int32 Int32 Int32 
IDName Name X Y Width 
<Tree>
0 'Tree' 31 15 3 
1 'Tree' 26 10 1 
2 'Tree' 17 18 1 
3 'Tree' 17 7 1 
4 'Tree' 10 13 1 
5 'Tree' 33 8 1 
6 'Tree' 41 5 1 
7 'Tree' 43 22 1 
8 'Tree' 26 3 2 
9 'Tree' 17 11 2 
10 'Tree' 7 3 2 
11 'Tree' 2 23 2 
12 'Tree' 22 23 2 
13 'Tree' 43 13 2 
14 'Tree' 5 17 3 
15 'Tree' 34 23 3 
16 'Tree' 33 2 3 
17 'Tree' 14 1 3 
18 'Tree' 10 9 1 
19 'Tree' 9 23 1 
20 'Tree' 1 12 1 
21 'Tree' 38 18 1 
22 'Tree' 28 19 1 
23 'Tree' 22 16 1 
24 'Tree' 17 24 1 
25 'Tree' 28 25 1 
26 'Tree' 47 6 1 
27 'Tree' 41 2 1 
<\Tree>
